cell_key,microns_root_id
N:796494,864691134945419778
N:492168,864691135671588804
N:48615,864691134827373088
N:538570,864691136733542322
N:491455,864691135654592450
N:502905,864691136109430712
N:458407,864691135953317411
N:434873,864691135858491438
N:551195,864691136548699164
N:551157,864691135664574691
N:466893,864691135303545767
N:551061,864691136105963993
N:466515,864691136210661052
N:48594,864691134827482656
N:92605,864691135544044598
N:465704,864691135987328003
N:467033,864691135141838082
N:550766,864691135858491438
N:538257,864691136309668186
N:467306,864691135148991234
N:64278,864691136131235921
N:64174,864691135808772689
N:485997,864691134590537647
N:508349,864691135445098386
N:486857,864691135338692070
N:486396,864691136522905745
N:486375,864691135565847661
N:70103,864691136100371071
N:762715,864691135162987701
N:486443,864691135681078595
N:70585,864691135900029672
N:525644,864691135466868613
N:21390,864691136300944791
N:493895,864691135737280132
N:449697,864691135188391235
N:791975,864691134203749886
N:484935,864691135856075822
N:62562,864691135280746574
N:472911,864691136020267256
N:525038,864691135732789396
N:452808,864691135609902855
N:764040,864691134955086082
N:67017,864691135123758544
N:505033,864691135553493079
N:486575,864691135654517315
N:805671,864691135468027874
N:443596,864691134017788973
N:21025,864691136436401310
N:473510,864691135182241476
N:77232,864691135941443444
N:442822,864691134883219155
N:81971,864691135440493384
N:494837,864691135310435648
N:81976,864691135066255863
N:82009,864691135698370069
N:439450,864691135186974916
N:443115,864691135117851728
N:488764,864691135858491438
N:505753,864691135101554696
N:487239,864691135240211515
N:73935,864691134846036744
N:487368,864691134942235747
N:542189,864691136560866045
N:542912,864691134812036721
N:761201,864691135771070698
N:453861,864691135858491438
N:22866,864691134385309674
N:73257,864691135609903111
N:791235,864691135969386597
N:487570,864691135577864709
N:23546,864691136807160804
N:498946,864691135858491438
N:453225,864691136209565372
N:4078,864691135776658528
N:419964,864691135662042352
N:536873,864691135696499354
N:529463,864691135589904395
N:485189,864691135758495054
N:566131,864691135359596632
N:122882,864691134746661332
N:568747,864691135275758590
N:421341,864691136134957707
N:452985,864691135652487235
N:499062,864691135343071941
N:498874,864691135135518233
N:566962,864691136555744930
N:422401,864691135537093662
N:498712,864691135465512550
N:522201,864691135355558607
N:124801,864691135661632496
N:419793,864691135107627914
N:466512,864691135214260280
N:500555,864691135610200327
N:517039,864691136578302740
N:527252,864691135273544465
N:419787,864691136677228572
N:36548,864691135363422450
N:466339,864691136296729883
N:569264,864691134989355839
N:567178,864691136084465260
N:497110,864691135457828966
N:497556,864691135303207079
N:454598,864691135468472972
N:532772,864691136741340252
N:562518,864691135858491438
N:743475,864691135737799281
N:495481,864691135570773234
N:116622,864691135754476749
N:71166,864691136137645181
N:454925,864691136959717916
N:531549,864691135303545767
N:112941,864691136260384919
N:116624,864691135213901880
N:119953,864691135858491438
N:76780,864691135504111300
N:422800,864691135275193829
N:119685,864691135575539230
N:566107,864691136391171967
N:566722,864691135347524901
N:422581,864691135254177003
N:566762,864691136536079010
N:566871,864691135371841690
N:532286,864691135941472116
N:563522,864691135718690708
N:119102,864691136264828567
N:76072,864691136482852140
N:119276,864691135900611304
N:534387,864691135429482032
N:565597,864691135502125890
N:469736,864691135394447093
N:767649,864691134369247651
N:767653,864691135085187996
N:499334,864691136274625549
N:132991,864691136267120269
N:519989,864691135864745386
N:33473,864691135139755472
N:30116,864691135609429673
N:768447,864691134945294082
N:30310,864691135782267500
N:33165,864691134686971003
N:500807,864691135359709016
N:33252,864691135316923087
N:499851,864691136534943650
N:501967,864691135480300740
N:133942,864691135718922289
N:768042,864691135913404372
N:487160,864691135695044834
N:133217,864691136322972126
N:27297,864691135617773737
N:450554,864691135992495752
N:127330,864691135381966834
N:770305,864691135054486073
N:498212,864691135476707430
N:521455,864691135213154176
N:26743,864691135683207922
N:123304,864691135570722895
N:769195,864691135344910432
N:84670,864691136423517231
N:30895,864691135365560414
N:519094,864691135609902855
N:33598,864691135319981007
N:768767,864691135951954211
N:731916,864691135089629984
N:495303,864691136101842037
N:430034,864691135013894550
N:527940,864691135526450418
N:555886,864691135858491438
N:459046,864691135858491438
N:523870,864691135220978566
N:108337,864691135386191445
N:535857,864691135657799554
N:535609,864691135571648805
N:105038,864691136362412514
N:461755,864691133271191023
N:748131,864691135233127513
N:462799,864691135463248541
N:525197,864691135368435961
N:556386,864691135487919812
N:495821,864691136236686863
