cell_key,cilium_length_um,centriole_dist_um,nucleus_volume_um3
N:795875,,,33.23
N:508349,,,46.52
N:477666,,,125.24
N:486857,,,283.85
N:72039,,,234.55
N:509057,,,92.68
N:543230,,,85.77
N:762406,,,117.79
N:486396,,,179.16
N:486375,,,54.29
N:70103,,2.72,41.76
N:477483,,,56.51
N:17096,0.78,4.22,83.87
N:762715,,,206.68
N:480456,,,51.54
N:58702,,,52.08
N:486443,,,55.3
N:29787,,,235.24
N:480932,,2.68,41.76
N:70585,,2.73,92.11
N:61328,,5.88,53.88
N:525644,,,54.21
N:19524,,,346.93
N:479446,,5.12,53.69
N:484328,,,147.81
N:21390,,,212.02
N:493895,,,83.95
N:54539,,,172.41
N:505100,,,45.71
N:795427,,,134.41
N:449697,,2.86,46.45
N:507164,,,92.78
N:791975,,,315.13
N:484935,,,49.58
N:804765,,,263.39
N:62562,,5.67,43.41
N:21251,,,53.74
N:472911,,,164.99
N:480179,3.59,3.39,127.23
N:56110,,2.24,89.3
N:479720,,,77.35
N:20652,,6.18,68.95
N:525038,,,325.41
N:15480,,,95.86
N:452808,,,47.39
N:795776,,,174.99
N:478852,,,306.04
N:3573,,,32.17
N:793015,,,68.54
N:53771,,,107.02
N:764040,,,433.49
N:67017,,,274.93
N:483716,,5.89,54.81
N:18660,,,60.52
N:505033,,,239.81
N:483551,,7.27,241.92
N:483562,,5.31,66.73
N:483552,,,156.57
N:54217,,4.5,41.87
N:54233,,4.06,40.86
N:784295,,,31.98
N:486575,,4.38,51.6
N:805671,,,46.55
N:55583,,,62.81
N:38543,,,432.29
N:443596,,,436.81
N:510058,,,189.07
N:21025,,,150.24
N:509836,,,76.67
N:473510,,,67.1
N:77232,,,344.97
N:788930,,,293.54
N:538985,,,26.45
N:445121,,,169.22
N:476485,,,32.54
N:788640,,,418.97
N:442822,,,167.34
N:81971,,,278.09
N:441969,,,95.95
N:54085,,,134.01
N:494837,,3.1,38.16
N:81976,,6.25,43.39
N:82009,,,360.89
N:81672,,,142.66
